Date,Retorno_dolares_EUR,Retorno_dolares_CHF,Retorno_dolares_US500,Retorno_dolares_CAD,Retorno_dolares_AUD,Carteira_Dia,Carteira_acumulado
2015-01-02,-7.165735430811463,5.326522737712473,0.0,1.7693777864878248,0.0,-0.06983490661116476,-0.06983490661116476
2015-01-05,-11.642821985188151,1.9796395369814204,0.0,-4.569507976110687,0.0,-14.162855517706253,-14.232690424317418
2015-01-06,-16.86440185844696,-2.3186135669175907,0.0,-2.867378180896307,0.0,-7.81770318194344,-22.050393606260858
2015-01-07,-21.963464993472407,-6.429730769130149,0.0,-1.8223365837989771,0.0,-8.165138740140677,-30.21553234640153
2015-01-08,-16.838896810108597,-10.564608159213373,0.0,1.2423071135877501,0.0,4.054334490667312,-26.161197855734223
2015-01-09,-16.12589343710233,-11.183442105515255,0.0,10.399685785759495,0.0,9.251548098876127,-16.90964975685809
2015-01-12,-9.947763575995344,-16.48934456232645,0.0,11.638469466690095,0.0,2.1110110852263904,-14.798638671631702
2015-01-13,-8.338867605833746,-15.180284099763794,0.0,12.293595018048967,0.0,3.573081984083126,-11.225556687548574
2015-01-14,7.9638691487522255,112.17241075675062,0.0,12.293595018048967,0.0,143.6554316111004,132.4298749235518
2015-01-15,14.681183094522954,124.82325731581446,0.0,10.080127134114505,0.0,17.154692620900097,149.58456754445194
2015-01-16,10.275668814160772,124.82325731581446,0.0,13.721444837790257,0.0,-0.7641965766864298,148.82037096776548
2015-01-19,16.30263168997845,129.0716348794868,0.0,3.640636756982177,0.0,0.1945323586819363,149.01490332644744
2015-01-20,22.64556868360775,147.015373955285,0.0,22.311531687510985,0.0,42.95757099995632,191.97247432640376
2015-01-21,48.2605569311457,132.76737395528502,0.0,19.004917155090048,0.0,8.060373715117013,200.0328480415208
2015-01-22,65.46426425250141,122.71590010425493,0.0,15.773306831556841,0.0,3.9206231467924018,203.9534711883132
2015-01-23,61.67046555201222,108.46790010425494,0.0,11.222748090353305,0.0,-22.592357441692727,181.36111374662045
2015-01-26,46.06498851713565,94.21990010425495,0.0,17.163283306290865,0.0,-23.912941818939004,157.44817192768147
2015-01-27,56.040215565246825,96.43865133695559,0.0,28.133357682811997,0.0,23.164052657332945,180.61222458501442
2015-01-28,59.418819867991964,82.1906513369556,0.0,34.36328343423893,0.0,-4.639469945827924,175.9727546391865
2015-01-29,63.01399986627318,85.67241088299095,0.0,43.241272813254824,0.0,15.954928923332467,191.92768356251895
2015-01-30,69.0852829024335,93.91787248247793,0.0,56.01573295651809,0.0,27.091204778910587,219.01888834142954
2015-02-02,83.72066083932917,89.06006835632188,0.0,45.93492487571001,0.0,-0.3032342700684758,218.71565407136106
2015-02-03,97.96807231916932,91.58854175781225,0.0,58.63022080817738,0.0,29.471180813797886,248.18683488515896
2015-02-04,112.19215622816772,96.66834904711605,0.0,48.5494127273693,5.796129032258084,15.0192121497522,263.20604703491114
2015-02-05,129.76919398584673,99.20344969639619,0.0,55.24035951225192,5.796129032258084,26.803085191841767,290.0091322267529
2015-02-06,131.1126460991833,99.05769271134106,0.0,59.38539859796936,5.796129032258084,5.342734213998888,295.3518664407518
2015-02-09,131.4308942289985,95.91979421241338,0.0,49.30459051716129,5.796129032258084,-12.900458449920565,282.4514079908312
2015-02-10,129.6907375407539,93.5450839665516,0.0,45.80720648110252,5.796129032258084,-7.612250970165155,274.8391570206661
2015-02-11,122.38835028763029,90.73946639332085,0.0,55.331504230664876,5.796129032258084,-0.5837070767920114,274.2554499438741
2015-02-12,123.4100229224412,90.8878032901654,0.0,60.431629037587264,5.796129032258084,6.27013433857784,280.5255842824519
2015-02-13,127.51698873052636,91.37308139616582,0.0,58.671107713566265,5.796129032258084,2.8317225900645857,283.3573068725165
2015-02-16,133.58344698300718,96.83406007479937,0.0,58.671107713566265,5.796129032258084,11.527436931114384,294.8847438036309
2015-02-17,134.9785993609755,102.66466911212751,0.0,63.950541812374794,6.628046130703612,13.337112612550518,308.2218564161814
2015-02-18,137.98133694797482,110.38391117448218,0.0,67.15384553590101,6.628046130703612,13.925283372880221,322.1471397890616
2015-02-19,139.09224300178758,122.5742605935217,0.0,69.89020939862152,6.628046130703612,16.0376193355728,338.1847591246344
2015-02-20,143.78312678148754,135.32528706028376,0.0,66.59312039203559,6.628046130703612,14.144821239876089,352.3295803645105
2015-02-23,144.3162835383291,134.4567183995912,0.0,59.79807319203406,6.628046130703612,-7.130459103852516,345.199121260658
2015-02-24,141.98732778362074,136.64475009117686,0.0,63.8098815826058,6.628046130703612,3.8708843274490503,349.070005588107
2015-02-25,124.39183636281052,132.08252964995702,0.0,57.33572580018612,6.628046130703612,-28.631867644449734,320.4381379436573
2015-02-26,124.11532577137393,130.26004686816643,0.0,57.65446064227438,6.628046130703612,-1.7802585311389292,318.65787941251835
2015-02-27,125.4842368143713,125.75708120347021,0.0,59.57216566771529,6.628046130703612,-1.2163495962579474,317.4415298162604
2015-03-02,124.61832132420251,128.5284101331263,0.0,56.324048682540756,6.628046130703612,-1.3427035456872423,316.0988262705732
2015-03-03,113.78465082788212,126.33171797191768,0.0,61.64557440993788,6.628046130703612,-7.708836930131884,308.38998934044133
2015-03-04,108.46153874713231,137.15987996568714,0.0,66.2400324813294,6.628046130703612,10.09950798441116,318.48949732485244
2015-03-05,87.82860507490015,149.7119455515837,0.0,77.10818797339144,14.919654987835507,11.078896262858347,329.5683935877108
2015-03-06,88.70456061412872,149.46764816844967,0.0,78.72284570993239,13.402547865808426,0.7292087706083794,330.2976023583192
