Date,Retorno_dolares_EUR,Retorno_dolares_CHF,Retorno_dolares_US500,Retorno_dolares_CAD,Retorno_dolares_AUD,Carteira_Dia,Carteira_acumulado
2020-01-02,327.42194330572414,234.06390341732433,513.720361052452,287.0928639547448,128.01526275609942,0.7270785224545602,1490.3143344863447
2020-01-03,331.7264970079188,238.69828609147743,513.720361052452,283.95162387627425,128.01526275609942,5.797696297877208,1496.112030784222
2020-01-06,336.5601403279111,241.07538348890893,513.720361052452,286.8557983252196,128.01526275609942,10.114915166369151,1506.226945950591
2020-01-07,331.26139453992886,237.24043625935747,513.720361052452,286.8557983252196,128.01526275609942,-9.133693017533723,1497.0932529330576
2020-01-08,330.88435196840567,237.79433915921783,513.720361052452,288.0557731325387,127.07748733218367,0.43905971174047076,1497.532312644798
2020-01-09,332.36372177014914,238.1302737276138,511.06935134015583,288.059220084054,127.07748733218367,1.818751321654735,1496.7000542541564
2020-01-10,333.84109996451156,240.0787884732528,516.6430737173282,288.09331491028945,127.07748733218367,3.4599877662368868,1505.7337643975657
2020-01-13,334.70294180704775,236.4026694884144,516.7634447748421,288.09331491028945,127.07748733218367,-2.814277142302223,1503.0398583127774
2020-01-14,337.1663603432888,232.7241869108636,518.0641566701873,286.4890385275744,127.07748733218367,-2.8193404240248103,1501.5212297840976
2020-01-15,335.5650408140018,231.51039921597064,523.2521027408785,286.4890385275744,127.07748733218367,-2.8151072241799366,1503.8940686306091
2020-01-16,330.40126644535957,234.3875318591987,523.2521027408785,288.43264612678587,127.07748733218367,-0.34303412620271767,1503.5510345044063
2020-01-17,329.71579418368884,233.993859851016,522.6435192771645,286.78302452816234,127.07748733218367,-2.728765868476978,1500.2136851722153
2020-01-20,331.06487153200516,233.3703301719241,522.6435192771645,284.88566513552826,127.07748733218367,-1.1718117234097014,1499.0418734488057
2020-01-21,329.63038843505564,234.19920899014622,522.6435192771645,289.6708137201627,126.87771088609588,3.979767859819255,1503.021641308625
2020-01-22,325.5362202096014,232.84354359090676,522.6435192771645,289.09510690324964,126.87771088609588,-6.025540441606743,1496.9961008670182
2020-01-23,322.0907793341989,230.7062509568077,522.6435192771645,289.09510690324964,124.37739413035987,-8.083050265237603,1488.9130506017807
2020-01-24,321.1474347210372,232.18953942369333,522.6435192771645,292.49766536691135,124.37739413035987,3.9425023173856446,1492.8555529191663
2020-01-27,321.2995362711348,228.4875370101528,532.0471394881583,295.33485031323676,124.61435051431081,-0.4757595331665892,1501.7834135969933
2020-01-28,322.45888828908033,228.1579172773675,529.3367722307127,298.4770288159869,124.61435051431081,3.9719107879103905,1503.0449571274582
2020-01-29,324.70538384140576,232.0396533342497,529.3367722307127,297.6157935460048,124.61435051431081,5.266996339225528,1508.3119534666837
2020-01-30,317.63548576194137,238.25444511911292,529.3367722307127,299.60945435573456,124.61435051431081,1.1385545151286132,1509.4505079818123
2020-01-31,321.23886446308666,241.000145762667,529.3367722307127,303.3441136507915,124.61435051431081,10.083738639756273,1519.5342466215686
2020-02-03,319.3275481006268,237.54712668576946,529.3367722307127,302.63859252401795,124.61435051431081,-6.069856566130872,1513.4643900554377
2020-02-04,314.19902921309205,233.15523472138253,529.3367722307127,302.63859252401795,124.61435051431081,-9.520410851921667,1503.943979203516
2020-02-05,316.10412315205036,231.76532347877892,526.6247043914414,302.63859252401795,124.61435051431081,0.515182696354699,1501.7470940605995
2020-02-06,320.1345019273097,228.81970328795109,526.6247043914414,302.63859252401795,124.61435051431081,1.0847585844315235,1502.8318526450307
2020-02-07,323.76631151279304,228.72934992310755,532.9085814144846,303.452171600111,124.61435051431081,4.355035296732849,1513.4707649648071
2020-02-10,324.2450054516198,226.94106220072226,532.9085814144846,301.11862080504835,127.63086617565757,-0.6266289172743851,1512.8441360475326
2020-02-11,319.4815876012062,224.2994832209925,532.9085814144846,301.11862080504835,127.63086617565757,-7.404996830143372,1505.4391392173893
2020-02-12,323.2719997588662,222.94709977641077,532.2657209761916,302.38124950723767,127.63086617565757,3.7006574152676146,1508.4969361943638
2020-02-13,322.17861448316376,220.23254407565923,531.4491063019085,301.00403067526497,127.63086617565757,-5.185159808426624,1502.495161711654
2020-02-14,322.45869258680784,218.90566758009365,531.4491063019085,299.7534289309651,127.63086617565757,-2.297400136221361,1500.1977615754327
2020-02-17,317.59217280657714,221.22963960464364,531.4491063019085,301.5087032698569,127.63086617565757,-0.7872734167888862,1499.4104881586438
2020-02-18,319.3207090192013,220.43942082699124,535.0170550426756,298.4789548466398,127.63086617565757,-2.0914309882453557,1500.8870059111655
2020-02-19,321.9158264988309,220.75028150105723,535.0170550426756,295.4253557462326,127.63086617565757,-0.14762094671159787,1500.739384964454
2020-02-20,329.1442077271571,226.89079234168878,535.0170550426756,297.84846947066154,127.63086617565757,15.792005793386739,1516.5313907578407
2020-02-21,328.43400721823144,226.0555761815595,520.2970550426755,292.76236878437925,127.63086617565757,-6.631517355337232,1495.1798734025033
2020-02-24,331.4560497767946,228.93216187629062,520.2970550426755,293.6144386319804,127.63086617565757,6.750698100895432,1501.9305715033988
2020-02-25,331.3083811610809,229.68160208610948,520.2970550426755,297.6451382546016,127.63086617565757,4.632471216726335,1506.563042720125
2020-02-26,317.82866221964974,219.94653698087646,505.5770550426755,302.04897140249534,127.63086617565757,-18.81095089877038,1473.0320918213547
2020-02-27,314.5318739562011,217.51319455249993,505.5770550426755,302.07268617486255,127.63086617565757,-5.706415919457997,1467.3256759018968
2020-02-28,303.0024673349299,223.69195080696747,505.5770550426755,307.2633672524082,127.63086617565757,-0.15996928925799203,1467.1657066126386
