,Unnamed: 0,dias,fatorec,fatorev,neuronio,interação,acc_train,acc_test,test_acum,dif_acc,sharpe,DD_Max,DD_Mean,DD_std
6,0,1,0.25,0.25,27,200,0.4934043045591298,0.4513888888888889,46.729072729104644,0.04201541567024092,1.0250546741138142,9.117381522991074,2.332094251801218,2.144682980458408
7,0,1,0.25,0.25,27,300,0.5165470955797269,0.4479166666666667,35.40144596823901,0.0686304289130602,0.7050703527859261,10.041961296020515,2.3597822608894434,2.1064461189802937
8,0,1,0.25,0.25,27,400,0.5290442027308493,0.4541666666666666,50.06225562945162,0.07487753606418263,0.8178431433397877,12.24250787871492,2.1920383934239456,2.5708552005846754
9,0,1,0.25,0.25,27,500,0.5459384401758852,0.4534722222222222,56.23787190142942,0.092466217953663,0.9067578505168606,12.404165427268882,2.2123973986577528,2.5480461454545997
24,0,1,0.25,0.25,30,500,0.5126128211062254,0.4298611111111112,24.84940075771173,0.08275170999511428,0.5195537304113976,9.565671191711113,2.362707303118833,1.8640009747953423
27,0,1,0.25,0.25,31,300,0.4857671835223328,0.43333333333333335,27.24955557995699,0.05243385018899943,0.5597410000690061,9.73648725985683,2.7163678950410266,2.353466435311808
28,0,1,0.25,0.25,31,400,0.5049757000694284,0.4388888888888889,38.47639831056315,0.0660868111805395,0.6140567049588292,12.531871405310323,3.7044803312480257,3.0100179114942107
29,0,1,0.25,0.25,31,500,0.5227956491552881,0.4479166666666667,56.4958093952694,0.0748789824886214,0.8220682046666996,13.744798564049836,3.623018602985912,3.2316910644271704
35,0,1,0.25,0.25,33,100,0.4480444341587596,0.4194444444444445,33.40280561408759,0.0285999897143151,0.5367492212687688,12.446335938831911,3.1731814632081354,2.8511536595458726
36,0,1,0.25,0.25,33,200,0.4857671835223328,0.44166666666666665,48.74652147291558,0.044100516855666134,0.8233862785271407,11.840498862845399,2.7634330617273277,2.832767359510307
37,0,1,0.25,0.25,33,300,0.5049757000694284,0.44722222222222224,52.66634744231742,0.057753477847206136,0.8758264486643733,12.026662935935098,2.801660531648252,3.0860011279008583
38,0,1,0.25,0.25,33,400,0.5225642212450822,0.4444444444444444,42.04308966995485,0.07811977680063775,0.5844388684329141,14.387506355519145,3.5252020031251527,3.7488688352817867
40,0,1,0.25,0.25,34,100,0.4251330710483685,0.4083333333333333,25.592122861969344,0.016799737715035123,0.5946045691954907,8.608115102982099,3.1459514391201924,2.27284194635117
